FF 270; FL 164; FR 313; LL 381; RR 114; ER       4899; EL      4959
FF 266; FL 160; FR 304; LL 370; RR 111; ER       4861; EL      4933
FF 275; FL 153; FR 299; LL 360; RR 112; ER       4799; EL      4887
FF 301; FL 145; FR 305; LL 999; RR 110; ER       4794; EL      4885
FF 295; FL 145; FR 289; LL 999; RR 109; ER       4752; EL      4856
FF 309; FL 145; FR 300; LL 999; RR 108; ER       4697; EL      4806
FF 332; FL 168; FR 321; LL 999; RR 108; ER       4695; EL      4804
FF 319; FL 165; FR 308; LL 999; RR 107; ER       4695; EL      4804
FF 324; FL 165; FR 297; LL 999; RR 107; ER       4695; EL      4804
FF 322; FL 168; FR 303; LL 999; RR 108; ER       4695; EL      4804
FF 322; FL 162; FR 305; LL 999; RR 102; ER       4695; EL      4804
FF 320; FL 162; FR 288; LL 999; RR 106; ER       4695; EL      4804
FF 324; FL 163; FR 300; LL 999; RR 105; ER       4695; EL      4804
FF 325; FL 165; FR 303; LL 999; RR 107; ER       4695; EL      4804
FF 319; FL 166; FR 296; LL 999; RR 107; ER       4695; EL      4804
FF 319; FL 167; FR 308; LL 999; RR 106; ER       4734; EL      4833
FF 311; FL 153; FR 302; LL 999; RR 109; ER       4796; EL      4889
FF 291; FL 146; FR 302; LL 999; RR 110; ER       4863; EL      4953
FF 271; FL 147; FR 281; LL 999; RR 127; ER       4931; EL      5016
FF 249; FL 148; FR 278; LL 999; RR 355; ER       5002; EL      5076
FF 230; FL 152; FR 264; LL 339; RR 480; ER       5070; EL      5073
FF 225; FL 228; FR 318; LL  85; RR 199; ER       5122; EL      5047
FF 235; FL 249; FR 342; LL 106; RR 121; ER       5170; EL      5084
FF 226; FL 228; FR 336; LL 117; RR 122; ER       5235; EL      5142
FF 212; FL 207; FR 342; LL 132; RR 161; ER       5303; EL      5203
FF 194; FL 186; FR 337; LL 147; RR 999; ER       5367; EL      5201
FF 210; FL 172; FR 335; LL 190; RR 141; ER       5414; EL      5188
FF 256; FL 177; FR 341; LL 206; RR 131; ER       5465; EL      5234
FF 255; FL 168; FR 324; LL 192; RR 123; ER       5529; EL      5293
FF 248; FL 156; FR 312; LL 172; RR 156; ER       5599; EL      5351
F1 240; FL 143; FR 296; LL 152; RR 227; ER       5664; EL      5347
FF 286; FL 152; FR 312; LL 133; RR 137; ER       5714; EL      5321
FF 273; FL 190; FR 999; LL 122; RR 193; ER       5763; EL      5358
FF 258; FL 196; FR 999; LL 121; RR 152; ER       5829; EL      5417
FF 237; FL 200; FR 999; LL 121; RR 127; ER       5897; EL      5478
FF 217; FL 214; FR 999; LL 119; RR 143; ER       5961; EL      5475
FF 209; FL 263; FR 999; LL 125; RR 124; ER       6012; EL      5458
FF 285; FL 228; FR 999; LL 145; RR 213; ER       6067; EL      5504
FF 337; FL 204; FR 999; LL 162; RR 138; ER       6134; EL      5563
FF 400; FL 182; FR 999; LL 173; RR 110; ER       6203; EL      5622
FF 398; FL 157; FR 999; LL 200; RR 123; ER       6266; EL      5616
FF 999; FL 144; FR 999; LL 212; RR 112; ER       6313; EL      5589
FF 999; FL 222; FR 999; LL 167; RR 999; ER       6365; EL      5629
FF 999; FL 392; FR 999; LL 156; RR 139; ER       6435; EL      5691
FF 999; FL 423; FR 999; LL 137; RR  94; ER       6503; EL      5751
FF 245; FL 410; FR 999; LL 122; RR  94; ER       6568; EL      5813
FF 227; FL 389; FR 999; LL 112; RR 106; ER       6631; EL      5810
FF 999; FL 999; FR 211; LL 143; RR  94; ER       6689; EL      5793
FF 999; FL 999; FR 149; LL 367; RR 109; ER       6750; EL      5839
FF 999; FL 999; FR 146; LL 366; RR  79; ER       6815; EL      5896
FF 999; FL 256; FR 138; LL 362; RR  84; ER       6878; EL      5952
FF 999; FL 219; FR 131; LL 369; RR  83; ER       6943; EL      6012
FF 999; FL 201; FR 123; LL 366; RR  78; ER       7013; EL      6074
FF 999; FL 203; FR 113; LL 362; RR  79; ER       7001; EL      6128
FF 999; FL 189; FR 144; LL 369; RR  74; ER       6968; EL      6150
FF 999; FL 297; FR 183; LL 367; RR  83; ER       7014; EL      6184
FF 999; FL 208; FR 181; LL 372; RR  81; ER       7073; EL      6237
FF 999; FL 159; FR 175; LL 370; RR  84; ER       7135; EL      6295
FF 999; FL 144; FR 183; LL 364; RR  89; ER       7196; EL      6296
FF 999; FL 179; FR 140; LL 380; RR  80; ER       7252; EL      6281
FF 999; FL 221; FR 104; LL 309; RR  86; ER       7312; EL      6327
FF 190; FL 999; FR  92; LL 141; RR  77; ER       7377; EL      6388
FF 190; FL 999; FR  84; LL 118; RR  71; ER       7361; EL      6434
FF 999; FL 227; FR  99; LL 167; RR  58; ER       7315; EL      6461
FF 999; FL 187; FR 134; LL 412; RR  65; ER       7355; EL      6494
FF 999; FL 185; FR 138; LL 377; RR  59; ER       7414; EL      6549
FF 999; FL 185; FR 134; LL 135; RR  63; ER       7479; EL      6608
FF 999; FL 192; FR 135; LL 106; RR  64; ER       7549; EL      6669
FF 999; FL 191; FR 129; LL 106; RR  66; ER       7616; EL      6728
FF 999; FL 195; FR 126; LL 108; RR  66; ER       7676; EL      6783
FF 999; FL 195; FR 124; LL 109; RR  63; ER       7737; EL      6839
FF 999; FL 209; FR 122; LL 111; RR  66; ER       7723; EL      6892
FF 999; FL 165; FR 165; LL 119; RR  72; ER       7676; EL      6928
FF 999; FL 135; FR 999; LL 136; RR  87; ER       7720; EL      6972
FF 999; FL 128; FR 999; LL 124; RR  98; ER       7782; EL      7028
FF 999; FL 120; FR 999; LL 106; RR 101; ER       7850; EL      7085
FF 999; FL 112; FR 999; LL  99; RR 116; ER       7915; EL      7079
FF 999; FL 133; FR 999; LL  89; RR 104; ER       7965; EL      7057
FF 999; FL 999; FR 999; LL  82; RR  93; ER       8013; EL      7098
FF 999; FL 999; FR 999; LL  86; RR  93; ER       8076; EL      7155
FF 999; FL 999; FR 999; LL  86; RR  94; ER       8064; EL      7212
FF 999; FL 999; FR 999; LL  93; RR 100; ER       8020; EL      7252
FF 999; FL 167; FR 999; LL 104; RR 125; ER       8063; EL      7291
FF 999; FL 999; FR 999; LL  93; RR 999; ER       8132; EL      7351
FF 999; FL 999; FR 999; LL  81; RR 999; ER       8198; EL      7410
FF 999; FL 999; FR 999; LL  75; RR 999; ER       8261; EL      7470
FF 999; FL 999; FR 999; LL  62; RR 999; ER       8326; EL      7531
FF 999; FL 999; FR 999; LL 165; RR 999; ER       8314; EL      7579
FF 999; FL 999; FR 999; LL  70; RR 999; ER       8271; EL      7607
FF 999; FL 510; FR 999; LL  84; RR 999; ER       8308; EL      7642
FF 999; FL 523; FR 999; LL  68; RR 999; ER       8369; EL      7697
FF 999; FL 570; FR 999; LL  79; RR 999; ER       8439; EL      7761
FF 999; FL 533; FR 999; LL 999; RR 999; ER       8428; EL      7816
FF 999; FL 448; FR 999; LL  92; RR 999; ER       8386; EL      7849
FF 999; FL 376; FR 999; LL  79; RR 999; ER       8434; EL      7885
FF 412; FL 355; FR 999; LL  80; RR 999; ER       8496; EL      7939
FF 385; FL 339; FR 999; LL 999; RR 999; ER       8557; EL      7996
FF 360; FL 343; FR 999; LL 999; RR 999; ER       8536; EL      8048
FF 405; FL 308; FR 999; LL 197; RR 999; ER       8490; EL      8086
FF 459; FL 999; FR 354; LL 101; RR 999; ER       8532; EL      8127
FF 420; FL 999; FR 342; LL  99; RR 999; ER       8591; EL      8181
FF 400; FL 999; FR 335; LL 175; RR 999; ER       8656; EL      8238
FF 426; FL 276; FR 327; LL 262; RR 999; ER       8645; EL      8291
FF 360; FL 999; FR 382; LL 152; RR 999; ER       8605; EL      8335
FF 226; FL 999; FR 399; LL 110; RR 999; ER       8653; EL      8381
FF 209; FL 999; FR 387; LL 115; RR 999; ER       8720; EL      8440
FF 180; FL 999; FR 379; LL 149; RR 999; ER       8700; EL      8488
FF 204; FL 999; FR 401; LL 121; RR 443; ER       8659; EL      8519
FF 260; FL 999; FR 306; LL 154; RR 470; ER       8705; EL      8559
FF 247; FL 999; FR 252; LL 118; RR 461; ER       8771; EL      8619
FF 221; FL 999; FR 164; LL 127; RR 459; ER       8836; EL      8680
FF 206; FL 999; FR 118; LL 142; RR 453; ER       8814; EL      8731
FF 264; FL 999; FR 123; LL 130; RR 427; ER       8763; EL      8765
FF 407; FL 214; FR 168; LL 253; RR 451; ER       8805; EL      8806
FF 382; FL 216; FR 161; LL 141; RR 414; ER       8866; EL      8864
FF 379; FL 218; FR 157; LL 114; RR 137; ER       8933; EL      8925
FF 367; FL 220; FR 154; LL 121; RR  95; ER       9003; EL      8986
FF 367; FL 215; FR 149; LL 129; RR 102; ER       8988; EL      9033
FF 387; FL 202; FR 184; LL 130; RR  94; ER       8947; EL      9066
FF 999; FL 174; FR 244; LL 141; RR 105; ER       8995; EL      9105
FF 999; FL 164; FR 243; LL 130; RR 110; ER       9060; EL      9166
FF 999; FL 167; FR 250; LL 126; RR 117; ER       9126; EL      9227
FF 999; FL 162; FR 255; LL 122; RR 122; ER       9190; EL      9285
FF 363; FL 156; FR 251; LL 112; RR 131; ER       9259; EL      9283
FF 364; FL 199; FR 201; LL 106; RR 117; ER       9315; EL      9263
FF 360; FL 999; FR 158; LL 120; RR 126; ER       9366; EL      9305
FF 332; FL 999; FR 144; LL 126; RR 120; ER       9425; EL      9359
FF 314; FL 999; FR 132; LL 130; RR 110; ER       9405; EL      9409
FF 318; FL 999; FR 151; LL 128; RR  98; ER       9355; EL      9447
FF 330; FL 234; FR 229; LL 134; RR 111; ER       9396; EL      9489
FF 321; FL 999; FR 231; LL 125; RR 116; ER       9457; EL      9545
FF 303; FL 999; FR 234; LL 126; RR 122; ER       9522; EL      9602
FF 288; FL 999; FR 234; LL 119; RR 134; ER       9590; EL      9661
FF 271; FL 999; FR 233; LL 115; RR 122; ER       9663; EL      9729
F9 257; FL 999; FR 233; LL 121; RR 128; ER       9722; EL      9726
FF 237; FL 999; FR 179; LL 316; RR 116; ER       9773; EL      9716
FF 246; FL 268; FR 144; LL 310; RR 133; ER       9830; EL      9764
FF 238; FL 248; FR 131; LL 299; RR 125; ER       9897; EL      9824
FF 213; FL 226; FR 118; LL 279; RR 108; ER       9879; EL      9871
FF 190; FL 239; FR 141; LL 324; RR  92; ER       9833; EL      9903
FF 196; FL 999; FR 211; LL 326; RR  98; ER       9877; EL      9945
FF 179; FL 999; FR 204; LL 322; RR 104; ER       9941; EL     10006
FF 160; FL 999; FR 196; LL 328; RR 107; ER      10008; EL     10067
FF 133; FL 235; FR 176; LL 326; RR 106; ER      10082; EL     10132
FF 109; FL 183; FR 147; LL 330; RR 109; ER      10150; EL     10192
FF  82; FL 147; FR 123; LL 327; RR 108; ER      10217; EL     10252
FF  55; FL 111; FR  88; LL 319; RR 110; ER      10227; EL     10264
FF  52; FL 108; FR  88; LL 319; RR 108; ER      10227; EL     10264
FF  50; FL 107; FR  87; LL 327; RR 109; ER      10227; EL     10264
FF  51; FL 108; FR  84; LL 324; RR 109; ER      10227; EL     10264
FF  53; FL 106; FR  85; LL 326; RR 110; ER      10227; EL     10264
FF  50; FL 107; FR  86; LL 320; RR 108; ER      10227; EL     10264
FF  54; FL 104; FR  86; LL 323; RR 109; ER      10227; EL     10264
FF  52; FL 106; FR  87; LL 322; RR 111; ER      10187; EL     10293
FF  65; FL 166; FR  72; LL 310; RR 121; ER      10138; EL     10326
FF  87; FL 999; FR  72; LL 999; RR 174; ER      10137; EL     10326
FF  88; FL 999; FR  72; LL 283; RR 164; ER      10101; EL     10352
